name	pubchem_id	formula	neutral_mass	mz	mz_threshold	adducts	rt_min	rt_max	rt_peak
Crotonic acid	0	C4H6O2	86.0368	87.0443	5	H+	12.2	12.6	12.4
gamma-amino-n-butyric acid	0	C4H9NO2	103.0633	104.0707	5	H+	12.1	12.5	12.3
Choline	0	C5H13NO	103.0996	104.107	5	H+	4.7	5.1	4.9
cytosine	0	C4H5N3O	111.0433	112.0506	5	H+	6.6	7	6.8
Cystosine	0	C4H5N3O	111.0433	112.0508	5	H+	15	15.4	15.2
proline	0	C5H9NO2	115.0633	116.0708	5	H+	9	9.4	9.2
betaine	0	C5H11NO2	117.079	118.0864	5	H+	6.93	7.33	7.13
succinic acid	0	C4H6O4	118.0266	119.0351	5	H+	4.7	5.1	4.9
nicotinamide	0	C6H6N2O	122.048	123.0555	5	H+	12.9	13.3	13.1
nicotinic acid	0	C6H5NO2	123.032	124.0384	5	H+	6.7	7.1	6.9
isoleucine	0	C6H13NO2	131.0946	132.1019	5	H+	7.7	8.1	7.9
leucine	0	C6H13NO2	131.0946	132.1019	5	H+	8.1	8.5	8.3
asparagine	0	C4H8N2O3	132.0535	133.0613	5	H+	11.1	11.5	11.3
adenine	0	C5H5N5	135.0545	136.0623	5	H+	4.8	5.2	5
hypoxanthine	0	C5H4N4O	136.0385	137.0461	5	H+	5.6	6	5.8
ectoine	0	C6H10N2O2	142.0742	143.0818	5	H+	9.6	10	9.8
Glutamine	0	C5H10N2O3	146.0691	147.0766	5	H+	12.4	12.8	12.6
lysine	0	C6H14N2O2	146.1055	147.1128	5	H+	22.6	23	22.8
glutamate	0	C5H9NO4	147.0532	148.0606	5	H+	14	14.4	14.2
methionine	0	C5H11NO2S	149.051	150.0584	5	H+	8.8	9.2	9
xylose/ ribose	0	C5 H10 O5	150.0528	151.0617	5	H+	4.6	5	4.8
Guanine	0	C5H5N5O	151.0494	152.057	5	H+	8	8.4	8.2
phenylalanine	0	C9H11NO2	165.079	166.0865	5	H+	7.8	8.2	8
citrulline	0	C6H13N3O3	175.0957	176.1032	5	H+	13.3	13.7	13.5
tyrosine	0	C9H11NO3	181.0739	182.0815	5	H+	10.3	10.7	10.5
histidine-betaine	0	C9H15N3O2	197.117	198.1241	5	H+	9.1	9.5	9.3
Acetylglutamate	0	C7H11NO5	189.0645	212.0533	5	H+	14.3	14.7	14.5
N-acetyl-D-glucosamine	0	C8H15NO6	221.0899	224.0797	5	H+	7.9	8.3	8.1
mercaptohistidine betaine	0		229.089	230.0964	5	H+	11.2	11.6	11.4
cytidine	0	C9H13N3O5	243.0855	244.0923	5	H+	8	8.4	8.2
Glu-Ile	0		260.1367	261.1442	5	H+	13.2	13.6	13.4
adenosine	0	C10H13N5O4	267.0968	268.1046	5	H+	4.9	5.3	5.1
5'-methylthioadenosine	0	C11H15N5O3S	297.0896	298.0972	5	H+	2.7	3.1	2.9
cytidine-5'-monophosphate	0	C9H14N3O8P	323.0519	324.0594	5	H+	15.1	15.5	15.3
uridine-5'-monophosphate	0	C9H13N2O9P	324.0359	325.0438	5	H+	14.2	14.6	14.4
glutathione reduced	0	C10H17N3O6S	307.0838	330.0732	5	H+	13.7	14.1	13.9
adenosine monophosphate	0	C10H14N5O7P	347.0631	348.0704	5	H+	13.1	13.5	13.3
"2Hex (trehalose, sucrose, cellobiose or lactose?)"	0	C12H22O11	342.1162	360.1504	5	Na+	13.1	13.5	13.3
maltose	0	C12H22O11	342.1162	365.1058	5	Na+	12.5	12.9	12.7
inosine monophosphate	0	C10H13N4O8P	348.0471	371.0382	5	H+	14.6	15	14.8
raffinose	0	C18H32O16	504.169	522.2019	5	H+	14.5	14.9	14.7
coenzyme A	0	C21H36N7O16P3S	767.1152	768.1218	5	H+	15	15.4	15.2
Octadecanoic Acid	0	C18 H36 O2	284.2715	285.278776	5	H+	1.3	1.7	1.5
thymine	0	C5H6N2O2	126.0429	127.050176	5	H+	2.7	3.1	2.9
thymidine	0	C10H14N2O5	242.0903	243.0975476	5	H+	2.7	3.1	2.9
beta-alanine	0	C3H7N O2	89.0477	90.054976	5	H+	3.1	3.5	3.3
Uracil	0	C4H4N2O2	112.0273	113.0345534	5	H+	3.2	3.6	3.4
5-methyluridine	0	C10H14N2O6	258.0853	259.092576	5	H+	3.9	4.3	4.1
glycine	0	C2H5NO2	75.032	76.03930441	5	H+	4.8	5.2	5
Uridine	0	C9H12N2O6	244.0695	245.0768121	5	H+	5.4	5.8	5.6
xanthine	0	C5H4N4O2	152.0334	153.0407014	5	H+	6.7	7.1	6.9
valine	0	C5H11NO2	117.079	118.0862546	5	H+	9.2	9.6	9.4
ornithine	0	C5H12N2O2	132.0896	133.096876	5	H+	13.3	13.7	13.5
succinate	0	C4H6O4	118.0261	119.033376	5	H+	13.5	13.9	13.7
NADH	0	C21H27N7O14P2	665.1248	666.1320477	5	H+	13.9	14.3	14.1
alanine	0	C3H7NO2	89.0477	90.05495448	5	H+	14.1	14.5	14.3
aspartate	0	C4H7NO4	133.0375	134.044786	5	H+	14.2	14.6	14.4
acetylaspartate	0	C6H9NO5	175.0479	176.055176	5	H+	14.5	14.9	14.7
hydroxy-proline	0	C5H9NO3	131.0582	132.065516	5	H+	14.5	14.9	14.7
citramalic acid	0	C5H8O5	148.0372	149.044446	5	H+	15.2	15.6	15.4
glucose-6-phosphate	0	C6H13O9P	260.0297	261.0369945	5	H+	16.5	16.9	16.7
stearic acid	0	C18H36O2	284.2715	285.278776	5	H+	4.3	4.7	4.5
